date,lat,lon,value
10/29/2018 22:05:00,-33.119560,-64.327968,Ráfagas y/o vientos intensos
10/30/2018 13:00:00,-32.952140,-60.768370,Rayos y/o truenos
12/16/2017 22:30:00,-30.965972,-64.098056,Rayos y/o truenos
2/14/2016 2:30:00,-30.970840,-64.084920,Lluvias intensas
10/30/2018 10:00:00,-32.850000,-61.250000,Granizo
10/29/2018 19:00:00,-33.278611,-65.614167,Granizo
10/30/2018 12:50:00,-31.399050,-64.334774,Granizo
11/2/2018 20:35:00,-32.170533,-64.158452,
11/3/2018 10:35:00,-31.759874,-65.001670,Rayos y/o truenos
10/29/2018 22:00:00,-33.132750,-64.336407,Ráfagas y/o vientos intensos
11/3/2018 13:45:00,-31.412047,-64.569949,Lluvias intensas
11/3/2018 14:37:00,-31.136877,-64.305210,Rayos y/o truenos
11/3/2018 14:10:00,-31.247224,-64.486128,Granizo
11/3/2018 11:30:00,-31.906637,-64.563729,Lluvias intensas
11/3/2018 14:30:00,-31.124098,-64.493581,Rayos y/o truenos
10/3/2018 14:10:00,-31.399050,-64.334774,Rayos y/o truenos
11/3/2018 13:30:00,-31.412047,-64.569949,Lluvias intensas
11/3/2018 13:00:00,-31.360960,-64.333492,Rayos y/o truenos
11/4/2018 7:36:00,-33.144595,-64.365000,Ráfagas y/o vientos intensos
11/3/2018 15:00:00,-31.282416,-64.849363,Granizo
11/4/2018 0:30:00,-28.304883,-64.219885,Granizo
11/4/2018 20:30:00,-33.384444,-64.722778,Granizo
11/4/2018 20:30:00,-33.386563,-64.739110,Granizo
11/4/2018 17:00:00,-34.576043,-68.457830,Granizo
12/1/2013 17:10:00,-34.972222,-59.979967,
11/5/2018 16:25:00,-31.796994,-65.022455,Rayos y/o truenos
11/3/2018 19:45:00,-28.635705,-65.143686,Granizo
11/5/2018 23:30:00,-26.873517,-65.306842,Rayos y/o truenos
11/6/2018 0:26:00,-31.399050,-64.334774,Rayos y/o truenos
11/6/2018 0:45:00,-30.785021,-64.660503,Granizo
11/5/2018 15:30:00,-31.616632,-64.880317,Granizo
11/6/2018 2:00:00,-31.425394,-64.201980,Rayos y/o truenos
11/4/2018 19:00:00,-31.423182,-62.128334,Lluvias intensas
11/4/2018 17:30:00,-32.077224,-64.574820,Granizo
11/6/2018 15:00:00,-31.3609601,-64.333492,Rayos y/o truenos
11/6/2018 15:15:00,-31.4238533,-64.4953921,Lluvias intensas
11/6/2018 14:00:00,-32.348000,-65.017000,Lluvias intensas
11/5/2018 15:00:00,-32.348000,-65.017000,Rayos y/o truenos
11/6/2018 16:03:00,-31.135000,-64.296000,Lluvias intensas
11/6/2018 19:00:00,-31.454100,-64.263500,Lluvias intensas
10/9/2018 18:00:00,-37.458000,-61.931000,
11/9/2018 21:30:00,-35.46,-60.210000,Rayos y/o truenos
11/9/2018 20:30:00,-35.073364,-60.462141,Granizo
11/9/2018 19:00:00,-36.054900,-63.560000,
11/10/2018 10:00:00,-34.603722,-58.381592,Lluvias intensas
11/10/2018 10:00:00,-35.634100,-59.780000,Lluvias intensas
11/10/2018 14:15:00,-33.120000,-64.350000,Lluvias intensas
11/10/2018 15:05:00,-33.740100,-61.971900,Ráfagas y/o vientos intensos
11/8/2018 18:00:00,-37.619900,-58.747300,Lluvias intensas
11/10/2018 16:58:00,-31.970000,-64.350000,Granizo
11/10/2018 17:20:00,-31.9958,-64.300000,Granizo
11/10/2018 17:15:00,-32.690000,-62.100000,Granizo
11/10/2018 16:00:00,-32.840000,-62.860000,Lluvias intensas
11/10/2018 18:00:00,-32.630000,-62.690000,Granizo
11/10/2018 19:00:00,-31.910000,-63.680000,Lluvias intensas
10/29/2018 21:00:00,-33.060000,-64.210000,Ráfagas y/o vientos intensos
9/18/2018 17:00:00,-33.060000,-64.210000,Granizo
11/10/2018 18:00:00,-32.590000,-62.830000,Granizo
11/10/2018 19:30:00,-32.943000,-60.656300,Rayos y/o truenos
11/11/2018 7:00:00,-31.500000,-64.190000,Lluvias intensas
11/11/2018 0:00:00,-32.620000,-62.690000,Lluvias intensas
11/10/2018 20:00:00,-32.730000,-65.288000,Granizo
11/10/2018 23:30:00,-31.905000,-64.990000,Granizo
11/10/2018 9:00:00,-32.730000,-65.288000,Granizo
11/11/2018 10:00:00,,,Lluvias intensas
11/10/2018 23:50:00,-31.871000,-64.980000,Granizo
11/10/2018 22:00:00,,,Lluvias intensas
11/11/2018 12:05:00,-32.435000,-63.248000,Lluvias intensas
11/11/2018 10:00:00,-32.410000,-63.235000,Lluvias intensas
11/11/2018 8:00:00,-32.070000,-64.537000,Lluvias intensas
11/11/2018 10:00:00,-32.697700,-62.100000,Lluvias intensas
11/10/2018 10:00:00,-34.920000,-57.956000,Lluvias intensas
11/10/2018 23:30:00,-31.871000,-64.980000,Granizo
11/11/2018 12:00:00,-31.727000,-65.004000,Lluvias intensas
11/10/2018 21:30:00,-31.911000,-65.036000,Granizo
11/11/2018 0:30:00,-32.943000,-60.656300,Rayos y/o truenos
11/10/2018 23:00:00,-32.943000,-60.656300,Lluvias intensas
11/10/2018 19:04:00,-31.797600,-64.314400,
11/10/2018 23:00:00,-32.423000,-61.889000,Lluvias intensas
11/10/2018 18:00:00,-34.856000,-60.388000,Ráfagas y/o vientos intensos
11/10/2018 19:45:00,-32.347000,-65.016000,Rayos y/o truenos
11/11/2018 21:15:00,-32.347000,-65.016000,Granizo
11/11/2018 21:30:00,-30.698000,-64.074000,Rayos y/o truenos
11/11/2018 22:50:00,-31.074000,-64.489000,Rayos y/o truenos
11/11/2018 0:00:00,-32.943000,-60.656300,Rayos y/o truenos
11/11/2018 23:20:00,-32.281000,-64.230000,Granizo
11/11/2018 7:01:00,-31.420000,-64.188000,Rayos y/o truenos
11/11/2018 23:00:00,-31.664000,-63.047000,Lluvias intensas
11/11/2018 23:00:00,-28.637000,-65.129000,Rayos y/o truenos
11/11/2018 21:35:00,-30.705000,-64.069000,Granizo
11/11/2018 20:40:00,-31.652000,-64.223000,Granizo
11/11/2018 18:00:00,-30.722000,-64.808000,Granizo
11/12/2018 8:00:00,-31.420000,-64.497000,Lluvias intensas
11/11/2018 23:15:00,-30.420000,-64.490000,Granizo
11/11/2018 22:00:00,-32.346000,-65.016000,Granizo
11/11/2018 20:30:00,-33.120000,-64.348000,Rayos y/o truenos
11/11/2018 13:00:00,-31.676000,-61.750000,Granizo
11/12/2018 6:30:00,-33.120000,-64.348000,Lluvias intensas
11/10/2018 19:00:00,-32.410000,-63.240000,Lluvias intensas
11/11/2018 16:00:00,-31.871000,-64.980000,Granizo
11/12/2018 13:00:00,-32.452000,-64.386000,Lluvias intensas
11/10/2018 23:20:00,-31.833000,-64.983000,Granizo
11/10/2018 23:00:00,-34.977000,-67.689000,Granizo
10/11/2018 21:00:00,-31.726000,-61.097000,Lluvias intensas
11/10/2018 23:00:00,-34.996000,-67.510000,Granizo
11/12/2018 1:03:00,-31.136000,-64.297000,Rayos y/o truenos
11/12/2018 20:14:00,-31.413000,-64.203000,Rayos y/o truenos
11/12/2018 13:00:00,-31.094000,-64.483000,Lluvias intensas
11/11/2018 23:00:00,-31.205000,-60.930000,Lluvias intensas
11/11/2018 23:00:00,-32.916000,-60.771000,Rayos y/o truenos
11/11/2018 0:00:00,-35.023000,-58.424000,Lluvias intensas
11/11/2018 0:00:00,-32.696000,-63.703000,Lluvias intensas
11/12/2018 1:00:00,-36.363800,-62.359100,Lluvias intensas
11/13/2018 6:32:00,-31.826400,-65.004900,Ráfagas y/o vientos intensos
11/12/2018 1:30:00,-30.789600,-60.591900,Lluvias intensas
10/29/2018 21:00:00,-32.149234,-65.803668,Lluvias intensas
11/15/2018 15:00:00,-31.648000,-64.088000,
11/17/2018 10:00:00,-31.678967,-64.309189,
11/22/2018 10:00:00,-33.044167,-61.168056,Rayos y/o truenos
11/22/2018 11:00:00,-29.80277778,-64.716667,Ráfagas y/o vientos intensos
11/21/2018 10:00:00,-32.946667,-60.639167,Lluvias intensas
11/25/2018 16:05:00,-34.591825,-68.402856,Granizo
11/25/2018 19:59:00,-32.911944,-68.876111,Ráfagas y/o vientos intensos
11/25/2018 19:30:00,-33.100000,-68.716700,Ráfagas y/o vientos intensos
11/25/2018 17:00:00,-34.617722,-68.330071,Granizo
11/25/2018 20:00:00,-33.081032,-68.468140,Ráfagas y/o vientos intensos
11/26/2018 4:00:00,-32.70055556,-63.70416667,Lluvias intensas
11/25/2018 22:10:00,-32.758000,-68.397000,Lluvias intensas
11/26/2018 16:38:00,-34.627453,-68.351532,Granizo
11/25/2018 16:20:00,-34.580087,-68.449014,Granizo
11/26/2018 16:45:00,-34.588466,-67.845038,Granizo
11/26/2018 0:00:00,-32.470000,-64.396944,Lluvias intensas
11/27/2018 7:30:00,-30.703430,-64.065000,Lluvias intensas
11/27/2018 20:15:00,-24.726944,-64.195278,Ráfagas y/o vientos intensos
11/28/2018 16:29:00,-33.460550,-68.603330,Granizo
11/29/2018 15:10:00,-33.384167,-64.716667,Granizo
11/29/2018 19:45:00,-31.783627,-64.908517,Lluvias intensas
11/29/2018 20:00:00,-31.72536,-64.908517,Lluvias intensas
11/30/2018 23:00:00,-34.563,-58.458000,Rayos y/o truenos
11/30/2018 19:00:00,-32.732979,-65.287410,
11/29/2018 20:55:00,-28.416673,-65.287410,Rayos y/o truenos
12/1/2018 0:30:00,-31.681237,-65.287410,Rayos y/o truenos
11/30/2018 16:09:00,-31.510802,-65.287410,Granizo
11/28/2018 16:40:00,-31.726012,-65.004000,Granizo
11/30/2018 22:00:00,-32.452824,-64.387135,Rayos y/o truenos
11/29/2018 19:00:00,-33.178426,-68.612769,Granizo
11/30/2018 22:29:00,-34.781753,-58.837740,Lluvias intensas
11/29/2018 19:30:00,-33.156111,-68.587778,Granizo
11/29/2018 14:40:00,-34.978292,-67.689557,Granizo
11/29/2018 15:00:00,-34.614632,-68.339290,Granizo
11/30/2018 18:00:00,-33.300214,-66.334214,Granizo
11/30/2018 17:15:00,-28.180013,-65.493979,Granizo
11/30/2018 17:50:00,-31.424459,-62.085118,
11/30/2018 17:20:00,-28.180037,-65.662505,Granizo
11/16/2018 19:20:00,-38.012427,-57.530487,Rayos y/o truenos
11/30/2018 16:57:00,-32.996111,-60.695278,Lluvias intensas
12/4/2018 16:23:00,-32.9121495,-68.8763407,Ráfagas y/o vientos intensos
12/4/2018 15:48:00,-31.418072,-64.202608,Rayos y/o truenos
12/4/2018 21:48:00,-31.418072,-64.202608,Rayos y/o truenos
12/4/2018 21:30:00,-31.783627,-64.908517,Rayos y/o truenos
12/4/2018 14:10:00,-31.579148,-64.606733,Rayos y/o truenos
12/4/2018 23:03:00,-31.424847,-64.492391,Rayos y/o truenos
12/4/2018 16:00:00,-30.960233,-64.518585,Lluvias intensas
12/5/2018 15:40:00,-31.97802,-64.70733,Granizo
12/5/2018 15:43:00,-31.611944,-64.758333,Granizo
12/5/2018 15:50:00,-31.611944,-64.758333,Granizo
12/5/2018 16:37:00,-31.611944,-64.758333,Granizo
12/5/2018 18:22:00,-31.611944,-64.758333,Lluvias intensas
12/5/2018 15:00:00,-31.529,-64.8,Lluvias intensas
12/5/2018 23:00:00,-29.417428,-66.855948,Rayos y/o truenos
12/6/2018 1:00:00,-28.100000,-65.316667,Lluvias intensas
12/5/2018 23:00:00,-28.468611,-65.779167,Rayos y/o truenos
12/4/2018 18:30:00,-31.618056,-64.866222,Lluvias intensas
12/4/2018 17:39:00,-32.905278,-68.786667,Lluvias intensas
12/4/2018 16:40:00,-32.916667,-68.833333,Lluvias intensas
12/4/2018 16:24:00,-32.905278,-32.905278,Ráfagas y/o vientos intensos
12/1/2018 22:00:00,,,Rayos y/o truenos
11/30/2018 22:50:00,-34.665278,-58.727500,Rayos y/o truenos
11/27/2018 16:41:00,-27.451389,-58.986667,Lluvias intensas
11/27/2018 14:10:00,-35.028861,-68.677000,Lluvias intensas
11/25/2018 21:10:00,-33.466667,-67.550000,Granizo
11/29/2018 14:25:00,-34.966667,-67.700000,Granizo
12/8/2018 16:18:00,-34.617500,-68.335556,Granizo
12/9/2018 13:30:00,-35.116667,-60.500000,Ráfagas y/o vientos intensos
12/9/2018 0:51:00,-33.318611,-68.753889,Rayos y/o truenos
12/9/2018 7:20:00,-33.012315,-66.309479,Granizo
12/9/2018 13:10:00,-35.116667,-60.500000,Lluvias intensas
12/9/2018 13:49:00,-35.416667,-60.166667,Ráfagas y/o vientos intensos
12/9/2018 18:40:00,-33.350000,-61.350278,Lluvias intensas
12/9/2018 18:30:00,-33.400000,-61.616667,Granizo
12/9/2018 18:30:00,-33.400000,-61.616667,Granizo
12/9/2018 18:40:00,-33.350000,-61.350278,Granizo
12/9/2018 18:40:00,-33.350000,-61.350278,Granizo
12/9/2018 18:40:00,-33.350000,-61.350278,Lluvias intensas
12/9/2018 18:30:00,-33.400000,-61.616667,Ráfagas y/o vientos intensos
12/9/2018 17:50:00,-34.850000,-61.516944,Granizo
11/26/2018 17:00:00,-34.617883,-68.300301,Granizo
12/10/2018 12:46:00,-32.296781,-64.283852,
12/10/2018 19:05:00,-35.233333,-63.583333,Granizo
12/10/2018 18:31:00,-35.416667,-64.483333,Granizo
12/10/2018 19:30:00,-35.666667,-63.733333,Lluvias intensas
12/10/2018 21:28:00,-35.033333,-63.016667,Rayos y/o truenos
12/10/2018 19:31:00,-34.931495,-62.737481,Rayos y/o truenos
12/10/2018 19:56:00,-35.700000,-64.133333,Granizo
12/10/2018 19:57:00,-35.000000,-63.350000,Granizo
12/10/2018 20:07:00,-35.416667,-64.483333,Granizo
12/10/2018 20:40:00,-35.033333,-63.016667,Granizo
12/10/2018 18:20:00,-35.700000,-64.133333,Granizo
12/10/2018 20:30:00,-35.000000,-63.350000,Granizo
12/10/2018 19:00:00,-35.533333,-63.800000,Rayos y/o truenos
12/10/2018 18:20:00,-36.466667,-65.333333,Ráfagas y/o vientos intensos
12/10/2018 18:30:00,-35.700000,-64.133333,Lluvias intensas
12/10/2018 19:02:00,-35.416667,-64.483333,Granizo
12/10/2018 21:30:00,-36.855006,-64.731860,Ráfagas y/o vientos intensos
12/10/2018 19:00:00,-35.387222,-64.282778,Granizo
12/10/2018 19:56:00,-35.700000,-64.133333,Granizo
12/10/2018 21:14:00,-35.033333,-63.016667,Granizo
12/10/2018 19:56:00,-35.700000,-64.133333,Granizo
12/10/2018 19:00:00,-35.416667,-64.483333,Ráfagas y/o vientos intensos
12/11/2018 9:20:00,-32.950000,-60.650000,Lluvias intensas
12/11/2018 8:08:00,-33.316667,-60.200000,Lluvias intensas
12/10/2018 18:00:00,-35.384229,-64.297348,Granizo
12/11/2018 7:50:00,-33.333333,-60.216667,Lluvias intensas
12/11/2018 8:18:00,-33.324484,-62.041291,Lluvias intensas
12/10/2018 15:00:00,-33.906715,-65.424870,Granizo
12/10/2018 18:30:00,-35.392471,-62.440814,Granizo
12/11/2018 11:13:00,-24.766496,-66.722778,Lluvias intensas
12/10/2018 17:00:00,,,
12/11/2018 11:23:00,-33.749411,-61.969016,Lluvias intensas
12/10/2018 20:30:00,-35.033333,-63.016667,Granizo
12/11/2018 10:25:00,-32.473599,-59.390642,Lluvias intensas
12/11/2018 13:12:00,-32.320000,-58.075556,Granizo
12/11/2018 13:17:00,-32.320000,-58.075556,Rayos y/o truenos
12/11/2018 14:32:00,-31.633333,-60.700000,Rayos y/o truenos
12/11/2018 14:45:00,-31.633333,-60.700000,Granizo
12/11/2018 16:00:00,-30.916981,-62.690444,Granizo
12/11/2018 16:00:00,-30.916981,-62.690444,Ráfagas y/o vientos intensos
12/11/2018 15:50:00,-31.014844,-62.676881,Granizo
12/11/2018 15:00:00,-30.948991,-59.818990,
12/11/2018 9:38:00,-35.168698,-58.240470,Ráfagas y/o vientos intensos
12/11/2018 15:43:00,-30.916904,-62.707954,
12/11/2018 16:38:00,-30.916904,-62.707954,Ráfagas y/o vientos intensos
12/11/2018 18:20:00,-26.230363,-65.289668,
12/12/2018 9:48:00,-27.486234,-58.862427,Lluvias intensas
12/11/2018 15:30:00,-30.995156,-62.835391,Lluvias intensas
12/11/2018 14:32:00,-31.633333,-60.700000,Rayos y/o truenos
12/11/2018 16:30:00,-31.415680,-63.092692,Granizo
12/11/2018 16:46:00,-30.916904,-62.707954,Ráfagas y/o vientos intensos
12/10/2018 22:05:00,-34.850000,-61.516944,Rayos y/o truenos
12/12/2018 11:37:00,-27.460492,-59.065387,Lluvias intensas
12/11/2018 20:40:00,-32.175040,-58.803948,Granizo
12/11/2018 12:00:00,-33.008155,-58.618473,Lluvias intensas
12/12/2018 23:30:00,-28.455989,-62.864458,Ráfagas y/o vientos intensos
